plan_id,democrat,republican,minority_effective,opportunity_districts,ensemble
319,7,7,5,1,VRA
320,6,8,5,1,VRA
321,6,8,5,1,VRA
322,6,8,6,1,VRA
323,6,8,5,1,VRA
324,6,8,5,1,VRA
325,6,8,5,1,VRA
326,6,8,5,1,VRA
327,6,8,5,1,VRA
328,6,8,5,1,VRA
329,6,8,5,2,VRA
330,6,8,5,2,VRA
331,6,8,5,2,VRA
332,6,8,5,2,VRA
333,6,8,5,2,VRA
334,6,8,5,2,VRA
335,7,7,5,2,VRA
336,7,7,5,2,VRA
337,7,7,5,2,VRA
338,8,6,6,2,VRA
339,7,7,6,2,VRA
340,7,7,6,2,VRA
341,7,7,6,2,VRA
342,7,7,6,2,VRA
343,7,7,6,2,VRA
344,7,7,6,2,VRA
345,7,7,6,2,VRA
346,7,7,6,2,VRA
347,7,7,6,2,VRA
348,7,7,6,2,VRA
349,7,7,6,1,VRA
350,6,8,5,2,VRA
351,6,8,5,2,VRA
352,7,7,6,1,VRA
353,7,7,6,1,VRA
354,7,7,6,1,VRA
355,7,7,6,1,VRA
356,7,7,6,1,VRA
357,7,7,6,1,VRA
358,7,7,6,1,VRA
359,7,7,6,1,VRA
360,6,8,5,1,VRA
361,6,8,5,1,VRA
362,6,8,5,1,VRA
363,6,8,5,1,VRA
364,6,8,5,1,VRA
365,6,8,5,1,VRA
366,6,8,5,1,VRA
367,6,8,5,1,VRA
368,6,8,5,1,VRA
369,6,8,5,1,VRA
370,6,8,5,1,VRA
371,6,8,5,1,VRA
372,6,8,5,1,VRA
373,6,8,5,1,VRA
374,6,8,5,1,VRA
375,6,8,5,1,VRA
376,6,8,5,2,VRA
377,6,8,5,2,VRA
378,6,8,5,2,VRA
379,6,8,5,2,VRA
380,6,8,5,2,VRA
381,6,8,5,2,VRA
382,6,8,5,2,VRA
383,6,8,5,2,VRA
384,6,8,5,2,VRA
385,6,8,5,2,VRA
386,6,8,5,3,VRA
387,6,8,5,3,VRA
388,6,8,5,2,VRA
389,6,8,5,2,VRA
390,6,8,5,2,VRA
391,6,8,5,2,VRA
392,6,8,5,2,VRA
393,6,8,5,2,VRA
394,6,8,5,2,VRA
395,6,8,5,2,VRA
396,6,8,5,2,VRA
397,6,8,5,2,VRA
398,6,8,5,2,VRA
399,6,8,5,2,VRA
400,6,8,5,2,VRA
401,6,8,5,2,VRA
402,6,8,5,2,VRA
403,6,8,5,2,VRA
404,6,8,5,2,VRA
405,6,8,5,2,VRA
406,6,8,5,2,VRA
407,6,8,5,2,VRA
408,6,8,5,2,VRA
409,6,8,5,2,VRA
410,6,8,5,2,VRA
411,7,7,5,2,VRA
412,7,7,5,2,VRA
413,7,7,5,2,VRA
414,7,7,5,2,VRA
415,7,7,5,2,VRA
416,7,7,5,2,VRA
417,7,7,5,2,VRA
418,7,7,5,2,VRA
419,7,7,5,2,VRA
420,7,7,5,2,VRA
421,7,7,5,2,VRA
422,7,7,5,2,VRA
423,7,7,5,2,VRA
424,7,7,5,2,VRA
425,7,7,5,2,VRA
426,7,7,5,2,VRA
427,7,7,5,2,VRA
428,6,8,5,2,VRA
429,7,7,5,2,VRA
430,7,7,5,2,VRA
431,7,7,5,2,VRA
432,7,7,5,2,VRA
433,7,7,5,2,VRA
434,7,7,5,2,VRA
435,7,7,5,2,VRA
436,7,7,5,2,VRA
437,7,7,6,1,VRA
438,7,7,6,1,VRA
439,7,7,6,1,VRA
440,7,7,6,1,VRA
441,7,7,6,1,VRA
