plan_id,black_pct,latino_pct
41,"0     0.284162
1     0.364020
2     0.084628
3     0.664482
4     0.228848
5     0.281672
6     0.069834
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.375324
12    0.105956
13    0.675252
dtype: float64","0     0.055889
1     0.040237
2     0.073756
3     0.055220
4     0.087037
5     0.123569
6     0.076374
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039753
12    0.094625
13    0.051881
dtype: float64"
42,"0     0.284162
1     0.364020
2     0.261320
3     0.664482
4     0.228848
5     0.104410
6     0.069834
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.375324
12    0.105956
13    0.675252
dtype: float64","0     0.055889
1     0.040237
2     0.109644
3     0.055220
4     0.087037
5     0.088196
6     0.076374
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039753
12    0.094625
13    0.051881
dtype: float64"
43,"0     0.284162
1     0.364020
2     0.261320
3     0.664482
4     0.228848
5     0.047137
6     0.069834
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.375324
12    0.164302
13    0.675252
dtype: float64","0     0.055889
1     0.040237
2     0.109644
3     0.055220
4     0.087037
5     0.078930
6     0.076374
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039753
12    0.104348
13    0.051881
dtype: float64"
44,"0     0.284162
1     0.364020
2     0.261320
3     0.664482
4     0.165092
5     0.047137
6     0.069834
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.375324
12    0.227811
13    0.675252
dtype: float64","0     0.055889
1     0.040237
2     0.109644
3     0.055220
4     0.105073
5     0.078930
6     0.076374
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039753
12    0.086361
13    0.051881
dtype: float64"
45,"0     0.284162
1     0.364020
2     0.371518
3     0.664482
4     0.165092
5     0.047137
6     0.069834
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.375324
12    0.227811
13    0.553855
dtype: float64","0     0.055889
1     0.040237
2     0.084629
3     0.055220
4     0.105073
5     0.078930
6     0.076374
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039753
12    0.086361
13    0.077085
dtype: float64"
46,"0     0.284162
1     0.364020
2     0.366632
3     0.664482
4     0.164536
5     0.047137
6     0.069834
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.375324
12    0.227811
13    0.553855
dtype: float64","0     0.055889
1     0.040237
2     0.088554
3     0.055220
4     0.101593
5     0.078930
6     0.076374
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039753
12    0.086361
13    0.077085
dtype: float64"
47,"0     0.284162
1     0.364020
2     0.366632
3     0.664482
4     0.569594
5     0.047137
6     0.069834
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.375324
12    0.227811
13    0.174927
dtype: float64","0     0.055889
1     0.040237
2     0.088554
3     0.055220
4     0.070717
5     0.078930
6     0.076374
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039753
12    0.086361
13    0.106422
dtype: float64"
48,"0     0.284162
1     0.364020
2     0.354239
3     0.664482
4     0.602612
5     0.047137
6     0.069834
7     0.413849
8     0.263960
9     0.261302
10    0.389250
11    0.375324
12    0.227811
13    0.174927
dtype: float64","0     0.055889
1     0.040237
2     0.093535
3     0.055220
4     0.063449
5     0.078930
6     0.076374
7     0.042968
8     0.046172
9     0.052413
10    0.054403
11    0.039753
12    0.086361
13    0.106422
dtype: float64"
49,"0     0.284162
1     0.364020
2     0.354239
3     0.664482
4     0.602612
5     0.047137
6     0.071692
7     0.413849
8     0.270648
9     0.261302
10    0.389250
11    0.375324
12    0.227811
13    0.174927
dtype: float64","0     0.055889
1     0.040237
2     0.093535
3     0.055220
4     0.063449
5     0.078930
6     0.076041
7     0.042968
8     0.045177
9     0.052413
10    0.054403
11    0.039753
12    0.086361
13    0.106422
dtype: float64"
50,"0     0.284162
1     0.364020
2     0.354239
3     0.664482
4     0.602612
5     0.047137
6     0.271042
7     0.413849
8     0.073710
9     0.261302
10    0.389250
11    0.375324
12    0.227811
13    0.174927
dtype: float64","0     0.055889
1     0.040237
2     0.093535
3     0.055220
4     0.063449
5     0.078930
6     0.045651
7     0.042968
8     0.075225
9     0.052413
10    0.054403
11    0.039753
12    0.086361
13    0.106422
dtype: float64"
51,"0     0.284162
1     0.364020
2     0.494380
3     0.664482
4     0.602612
5     0.047137
6     0.271042
7     0.413849
8     0.073710
9     0.261302
10    0.248524
11    0.375324
12    0.227811
13    0.174927
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.055220
4     0.063449
5     0.078930
6     0.045651
7     0.042968
8     0.075225
9     0.052413
10    0.070263
11    0.039753
12    0.086361
13    0.106422
dtype: float64"
52,"0     0.284162
1     0.364020
2     0.494380
3     0.664902
4     0.602612
5     0.047137
6     0.271042
7     0.413849
8     0.073710
9     0.261302
10    0.263310
11    0.375324
12    0.227811
13    0.174927
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.052441
4     0.063449
5     0.078930
6     0.045651
7     0.042968
8     0.075225
9     0.052413
10    0.072371
11    0.039753
12    0.086361
13    0.106422
dtype: float64"
53,"0     0.284162
1     0.364020
2     0.494380
3     0.664902
4     0.602612
5     0.047137
6     0.253055
7     0.413849
8     0.073710
9     0.277279
10    0.263310
11    0.375324
12    0.227811
13    0.174927
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.052441
4     0.063449
5     0.078930
6     0.042884
7     0.042968
8     0.075225
9     0.054512
10    0.072371
11    0.039753
12    0.086361
13    0.106422
dtype: float64"
54,"0     0.284162
1     0.364020
2     0.494380
3     0.664902
4     0.602612
5     0.047137
6     0.253055
7     0.413849
8     0.073710
9     0.277279
10    0.176702
11    0.375324
12    0.227811
13    0.267056
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.052441
4     0.063449
5     0.078930
6     0.042884
7     0.042968
8     0.075225
9     0.054512
10    0.108467
11    0.039753
12    0.086361
13    0.067931
dtype: float64"
55,"0     0.284162
1     0.364020
2     0.494380
3     0.664902
4     0.602612
5     0.047137
6     0.264341
7     0.413849
8     0.073710
9     0.267888
10    0.176702
11    0.375324
12    0.227811
13    0.267056
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.052441
4     0.063449
5     0.078930
6     0.054578
7     0.042968
8     0.075225
9     0.043219
10    0.108467
11    0.039753
12    0.086361
13    0.067931
dtype: float64"
56,"0     0.284162
1     0.364020
2     0.494380
3     0.627434
4     0.602612
5     0.047137
6     0.264341
7     0.413849
8     0.073710
9     0.305612
10    0.176702
11    0.375324
12    0.227811
13    0.267056
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.053176
4     0.063449
5     0.078930
6     0.054578
7     0.042968
8     0.075225
9     0.042513
10    0.108467
11    0.039753
12    0.086361
13    0.067931
dtype: float64"
57,"0     0.284162
1     0.364020
2     0.494380
3     0.627434
4     0.602612
5     0.046189
6     0.264341
7     0.413849
8     0.074908
9     0.305612
10    0.176702
11    0.375324
12    0.227811
13    0.267056
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.053176
4     0.063449
5     0.076194
6     0.054578
7     0.042968
8     0.077735
9     0.042513
10    0.108467
11    0.039753
12    0.086361
13    0.067931
dtype: float64"
58,"0     0.284162
1     0.364020
2     0.494380
3     0.218756
4     0.602612
5     0.046189
6     0.264341
7     0.413849
8     0.074908
9     0.305612
10    0.176702
11    0.375324
12    0.665205
13    0.267056
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.084467
4     0.063449
5     0.076194
6     0.054578
7     0.042968
8     0.077735
9     0.042513
10    0.108467
11    0.039753
12    0.052934
13    0.067931
dtype: float64"
59,"0     0.284162
1     0.364020
2     0.494380
3     0.215656
4     0.602612
5     0.046189
6     0.264341
7     0.413849
8     0.074908
9     0.305612
10    0.178510
11    0.375324
12    0.665205
13    0.267056
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.084580
4     0.063449
5     0.076194
6     0.054578
7     0.042968
8     0.077735
9     0.042513
10    0.109100
11    0.039753
12    0.052934
13    0.067931
dtype: float64"
60,"0     0.284162
1     0.364020
2     0.494380
3     0.215656
4     0.602612
5     0.046189
6     0.264341
7     0.413849
8     0.074908
9     0.305612
10    0.176660
11    0.375324
12    0.665205
13    0.262458
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.084580
4     0.063449
5     0.076194
6     0.054578
7     0.042968
8     0.077735
9     0.042513
10    0.105020
11    0.039753
12    0.052934
13    0.074606
dtype: float64"
61,"0     0.284162
1     0.364020
2     0.494380
3     0.198600
4     0.602612
5     0.046189
6     0.264341
7     0.413849
8     0.086798
9     0.305612
10    0.176660
11    0.375324
12    0.665205
13    0.262458
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.084012
4     0.063449
5     0.076194
6     0.054578
7     0.042968
8     0.078035
9     0.042513
10    0.105020
11    0.039753
12    0.052934
13    0.074606
dtype: float64"
62,"0     0.284162
1     0.364020
2     0.494380
3     0.198600
4     0.602612
5     0.162651
6     0.264341
7     0.413849
8     0.086798
9     0.305612
10    0.055018
11    0.375324
12    0.665205
13    0.262458
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.084012
4     0.063449
5     0.105072
6     0.054578
7     0.042968
8     0.078035
9     0.042513
10    0.074822
11    0.039753
12    0.052934
13    0.074606
dtype: float64"
63,"0     0.284162
1     0.364020
2     0.494380
3     0.196509
4     0.602612
5     0.165479
6     0.264341
7     0.413849
8     0.086798
9     0.305612
10    0.055018
11    0.375324
12    0.665205
13    0.262458
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.084844
4     0.063449
5     0.103827
6     0.054578
7     0.042968
8     0.078035
9     0.042513
10    0.074822
11    0.039753
12    0.052934
13    0.074606
dtype: float64"
64,"0     0.284162
1     0.364020
2     0.494380
3     0.207151
4     0.602612
5     0.156605
6     0.264341
7     0.413849
8     0.086798
9     0.305612
10    0.055018
11    0.375324
12    0.665205
13    0.262458
dtype: float64","0     0.055889
1     0.040237
2     0.080123
3     0.085301
4     0.063449
5     0.102582
6     0.054578
7     0.042968
8     0.078035
9     0.042513
10    0.074822
11    0.039753
12    0.052934
13    0.074606
dtype: float64"
