plan_id,black_pct,latino_pct
31,"0     0.265985
1     0.490866
2     0.276920
3     0.117677
4     0.503200
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.379859
10    0.637329
11    0.378884
12    0.547112
13    0.264490
dtype: float64","0     0.048694
1     0.037065
2     0.046775
3     0.061312
4     0.052641
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.061145
10    0.067793
11    0.039513
12    0.082066
13    0.120415
dtype: float64"
32,"0     0.265985
1     0.490866
2     0.276920
3     0.117677
4     0.503200
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.674013
10    0.358271
11    0.378884
12    0.547112
13    0.264490
dtype: float64","0     0.048694
1     0.037065
2     0.046775
3     0.061312
4     0.052641
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.049666
10    0.078032
11    0.039513
12    0.082066
13    0.120415
dtype: float64"
33,"0     0.265985
1     0.490866
2     0.276920
3     0.117677
4     0.503200
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.674013
10    0.358271
11    0.378884
12    0.541124
13    0.269658
dtype: float64","0     0.048694
1     0.037065
2     0.046775
3     0.061312
4     0.052641
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.049666
10    0.078032
11    0.039513
12    0.085148
13    0.117323
dtype: float64"
34,"0     0.265985
1     0.490866
2     0.276953
3     0.117677
4     0.503386
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.674013
10    0.358271
11    0.378884
12    0.541124
13    0.269658
dtype: float64","0     0.048694
1     0.037065
2     0.044637
3     0.061312
4     0.054818
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.049666
10    0.078032
11    0.039513
12    0.085148
13    0.117323
dtype: float64"
35,"0     0.265985
1     0.490866
2     0.544771
3     0.117677
4     0.503386
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.372370
10    0.358271
11    0.378884
12    0.541124
13    0.269658
dtype: float64","0     0.048694
1     0.037065
2     0.050931
3     0.061312
4     0.054818
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.042780
10    0.078032
11    0.039513
12    0.085148
13    0.117323
dtype: float64"
36,"0     0.265985
1     0.490866
2     0.262172
3     0.117677
4     0.503386
5     0.100416
6     0.099264
7     0.310124
8     0.137386
9     0.673154
10    0.358271
11    0.378884
12    0.541124
13    0.269658
dtype: float64","0     0.048694
1     0.037065
2     0.045256
3     0.061312
4     0.054818
5     0.077132
6     0.072747
7     0.053961
8     0.073679
9     0.048794
10    0.078032
11    0.039513
12    0.085148
13    0.117323
dtype: float64"
37,"0     0.265985
1     0.490866
2     0.262172
3     0.117677
4     0.503386
5     0.100416
6     0.074926
7     0.310124
8     0.155819
9     0.673154
10    0.358271
11    0.378884
12    0.541124
13    0.269658
dtype: float64","0     0.048694
1     0.037065
2     0.045256
3     0.061312
4     0.054818
5     0.077132
6     0.072778
7     0.053961
8     0.073574
9     0.048794
10    0.078032
11    0.039513
12    0.085148
13    0.117323
dtype: float64"
38,"0     0.265985
1     0.490866
2     0.262172
3     0.117677
4     0.503386
5     0.100416
6     0.074926
7     0.310124
8     0.327801
9     0.673154
10    0.172970
11    0.378884
12    0.541124
13    0.269658
dtype: float64","0     0.048694
1     0.037065
2     0.045256
3     0.061312
4     0.054818
5     0.077132
6     0.072778
7     0.053961
8     0.073812
9     0.048794
10    0.077677
11    0.039513
12    0.085148
13    0.117323
dtype: float64"
39,"0     0.265985
1     0.490866
2     0.262172
3     0.117677
4     0.503386
5     0.100416
6     0.074926
7     0.310124
8     0.311231
9     0.673154
10    0.172970
11    0.378884
12    0.568065
13    0.269658
dtype: float64","0     0.048694
1     0.037065
2     0.045256
3     0.061312
4     0.054818
5     0.077132
6     0.072778
7     0.053961
8     0.078406
9     0.048794
10    0.077677
11    0.039513
12    0.080188
13    0.117323
dtype: float64"
40,"0     0.265985
1     0.490866
2     0.262172
3     0.117677
4     0.680256
5     0.100416
6     0.074926
7     0.310124
8     0.311231
9     0.488206
10    0.172970
11    0.378884
12    0.568065
13    0.269658
dtype: float64","0     0.048694
1     0.037065
2     0.045256
3     0.061312
4     0.052471
5     0.077132
6     0.072778
7     0.053961
8     0.078406
9     0.051405
10    0.077677
11    0.039513
12    0.080188
13    0.117323
dtype: float64"
