"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"7000000US1305108-10C","CARVER HEIGHTS COMM, Chatham County, Georgia","2173","2106","60","2034","4","5","1","2","67","49","26","1","2","0","8","4","1","2","5","0","0","0","0","0","0","16","9","2","0","2","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0",
"7000000US1305108-11C","BUTLER ELEMENTARY SC, Chatham County, Georgia","1577","1550","12","1531","2","0","1","4","27","24","12","1","3","0","4","2","0","0","2","0","0","0","0","0","0","3","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-12C","BEACH HIGH SCHOOL, Chatham County, Georgia","4030","3896","1033","2187","17","497","2","160","134","110","17","13","4","1","54","7","7","0","7","0","0","0","0","0","0","17","6","3","1","2","0","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","7","4","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-13C","SAVANNAH CHRISTIAN S, Chatham County, Georgia","2858","2529","1051","284","55","4","8","1127","329","320","20","19","5","0","253","4","0","0","5","0","0","13","0","1","0","9","2","0","0","5","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US1305108-15C","GARDEN CITY REC CTR, Chatham County, Georgia","2562","2428","324","1837","16","15","5","231","134","126","29","12","1","2","60","6","2","0","7","0","1","4","1","0","1","8","4","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US130510XFTPU","FORT PULASKI MON, Chatham County, Georgia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13053000001","ACTIVITY CENTER, Chattahoochee County, Georgia","2578","2419","1543","808","6","30","0","32","159","153","54","41","8","3","24","14","2","0","2","0","0","0","4","0","1","5","0","0","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13053FTBEN1","FORT BENNING1, Chattahoochee County, Georgia","2","0","0","0","0","0","0","0","2","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13053FTBEN2","FORT BENNING2, Chattahoochee County, Georgia","3536","3046","2167","367","28","143","52","289","490","448","41","56","66","3","211","7","10","3","34","2","0","0","12","1","2","33","8","0","0","5","1","0","5","12","1","0","0","1","0","0","0","0","0","0","0","0","7","0","0","2","0","2","0","0","0","0","0","0","2","0","1","0","2","0","0","0","2","0","0","0","0",
"7000000US13053FTBEN3","FORT BENNING3, Chattahoochee County, Georgia","3449","3060","2255","336","12","133","59","265","389","340","47","36","55","5","143","0","2","1","43","2","0","0","6","0","0","44","20","0","0","0","1","0","6","12","1","0","1","3","0","0","0","0","0","0","0","0","5","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13055000870","TRION, Chattooga County, Georgia","6604","6239","5463","132","40","30","0","574","365","343","84","120","8","0","131","0","0","0","0","0","0","0","0","0","0","17","6","0","0","2","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0",
"7000000US13055000925","SUMMERVILLE, Chattooga County, Georgia","9261","8760","7320","1230","20","35","0","155","501","475","228","173","3","1","53","5","3","0","4","0","0","0","0","0","5","22","5","0","0","3","0","4","3","0","2","0","0","3","0","0","2","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"7000000US13055000940","DIRTTOWN, Chattooga County, Georgia","1294","1237","1121","105","3","4","0","4","57","54","13","18","2","0","19","0","1","0","0","0","0","0","0","0","1","3","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13055000961","SEMINOLE, Chattooga County, Georgia","284","277","258","16","0","0","0","3","7","7","1","3","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13055000962","SUBLIGNA, Chattooga County, Georgia","699","664","647","8","3","3","0","3","35","34","12","17","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13055000968","ALPINE, Chattooga County, Georgia","1235","1201","1149","23","5","6","0","18","34","30","9","5","0","0","13","0","0","0","0","0","0","0","0","0","3","3","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13055001083","COLDWATER, Chattooga County, Georgia","399","365","316","33","2","2","0","12","34","32","10","13","0","0","9","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13055001216","DIRTSELLER, Chattooga County, Georgia","250","240","216","13","1","0","0","10","10","10","4","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13055001382","HAYWOOD, Chattooga County, Georgia","227","212","206","2","1","2","0","1","15","15","1","10","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13055001484","LYERLY, Chattooga County, Georgia","1416","1359","1288","46","7","9","0","9","57","55","16","28","0","0","9","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US130550P-870","PENNVILLE, Chattooga County, Georgia","1825","1774","902","786","12","7","0","67","51","46","14","12","1","0","18","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
