plan_id,black_scores,latino_scores
42,"{1: 0, 2: 0.98173269323605, 3: 0, 4: 0, 5: 0.6247015613062002, 6: 0, 7: 0, 8: 0, 9: 1, 10: 1, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07413030098001279, 3: 0, 4: 0, 5: 0.12597589861823394, 6: 0, 7: 0, 8: 0, 9: 0.13254015431591115, 10: 0.10990586515600713, 11: 0, 12: 0, 13: 0.16037659200010518, 14: 0}"
43,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 0, 5: 0.6247015613062002, 6: 0, 7: 0, 8: 0, 9: 1, 10: 1, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0, 5: 0.12597589861823394, 6: 0, 7: 0, 8: 0, 9: 0.13254015431591115, 10: 0.10990586515600713, 11: 0, 12: 0, 13: 0.16037659200010518, 14: 0}"
44,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 0, 5: 0.6247015613062002, 6: 0, 7: 0, 8: 0, 9: 1, 10: 1, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0, 5: 0.12597589861823394, 6: 0, 7: 0, 8: 0, 9: 0.13332259875805877, 10: 0.10990586515600713, 11: 0, 12: 0, 13: 0.16037659200010518, 14: 0}"
45,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 0, 5: 0.6247015613062002, 6: 0, 7: 0, 8: 0, 9: 1, 10: 1, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0, 5: 0.12597589861823394, 6: 0, 7: 0, 8: 0, 9: 0.13332259875805877, 10: 0.10990586515600713, 11: 0, 12: 0, 13: 0.16037659200010518, 14: 0}"
46,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 0, 5: 0.6247015613062002, 6: 0, 7: 0, 8: 0, 9: 1, 10: 1, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0, 5: 0.12597589861823394, 6: 0, 7: 0, 8: 0, 9: 0.13332259875805877, 10: 0.10990586515600713, 11: 0, 12: 0, 13: 0.16037659200010518, 14: 0}"
47,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 1, 5: 0.6247015613062002, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0.111923552419533, 5: 0.12597589861823394, 6: 0, 7: 0, 8: 0, 9: 0.13332259875805877, 10: 0, 11: 0, 12: 0, 13: 0.16037659200010518, 14: 0}"
48,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0.111923552419533, 5: 0.1282344722099226, 6: 0, 7: 0, 8: 0, 9: 0.13332259875805877, 10: 0, 11: 0, 12: 0, 13: 0.15536688172803442, 14: 0}"
49,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0.1573057694104857, 5: 0.1282344722099226, 6: 0, 7: 0, 8: 0, 9: 0.13332259875805877, 10: 0, 11: 0, 12: 0, 13: 0.11264032270679059, 14: 0}"
50,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0.1573057694104857, 5: 0.1282344722099226, 6: 0, 7: 0.13367472468882108, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.11264032270679059, 14: 0}"
51,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0.1573057694104857, 5: 0.1282344722099226, 6: 0, 7: 0.13367472468882108, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.11264032270679059, 14: 0}"
