plan_id,black_scores,latino_scores
23,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.08750460354235315, 5: 0, 6: 0, 7: 0.18120935460627788, 8: 0, 9: 0.14738389548084396, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1765431906382475}"
24,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.08750460354235315, 5: 0, 6: 0, 7: 0.18120935460627788, 8: 0, 9: 0.14738389548084396, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1765431906382475}"
25,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.08750460354235315, 5: 0, 6: 0, 7: 0.18120935460627788, 8: 0, 9: 0.14738389548084396, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1765431906382475}"
26,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.09133234622958512, 7: 0.18120935460627788, 8: 0, 9: 0.14738389548084396, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1765431906382475}"
27,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.9223643961609517, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.09948098758472552, 7: 0.18120935460627788, 8: 0, 9: 0.135799213064739, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1765431906382475}"
28,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.9223643961609517, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.09948098758472552, 7: 0.18120935460627788, 8: 0, 9: 0.135799213064739, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1765431906382475}"
29,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.9223643961609517, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.09948098758472552, 7: 0.18120935460627788, 8: 0, 9: 0.11702058397172582, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1765431906382475}"
30,"{1: 0, 2: 0, 3: 0, 4: 0.800163556708742, 5: 0, 6: 0.9223643961609517, 7: 0.7522970978352916, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.11141662184704325, 5: 0, 6: 0.09948098758472552, 7: 0.18120935460627788, 8: 0, 9: 0.09736610375650744, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1765431906382475}"
31,"{1: 0, 2: 0, 3: 0, 4: 0.800163556708742, 5: 0, 6: 0.9223643961609517, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0.747185515161729, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.11141662184704325, 5: 0, 6: 0.09948098758472552, 7: 0, 8: 0, 9: 0.09736610375650744, 10: 0, 11: 0.18140805861935147, 12: 0, 13: 0, 14: 0.1765431906382475}"
32,"{1: 0, 2: 0, 3: 0, 4: 0.800163556708742, 5: 0, 6: 0.9223643961609517, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0.747185515161729, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.11141662184704325, 5: 0, 6: 0.09948098758472552, 7: 0, 8: 0, 9: 0.09736610375650744, 10: 0, 11: 0.18140805861935147, 12: 0, 13: 0, 14: 0.1765431906382475}"
33,"{1: 0, 2: 0, 3: 0, 4: 0.800163556708742, 5: 0, 6: 0.9223643961609517, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0.747185515161729, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.11141662184704325, 5: 0, 6: 0.09948098758472552, 7: 0, 8: 0, 9: 0.09736610375650744, 10: 0, 11: 0.18140805861935147, 12: 0, 13: 0, 14: 0.1765431906382475}"
34,"{1: 0, 2: 0, 3: 0, 4: 0.800163556708742, 5: 0, 6: 0.890209501192784, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.11141662184704325, 5: 0, 6: 0.17235482785351622, 7: 0, 8: 0, 9: 0.09736610375650744, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0, 14: 0.1765431906382475}"
35,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.890209501192784, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0.17235482785351622, 7: 0, 8: 0, 9: 0.09736610375650744, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0, 14: 0.1765431906382475}"
36,"{1: 0, 2: 0, 3: 0.4472712447948747, 4: 0, 5: 0, 6: 0.890209501192784, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0.17055838071646434, 4: 0, 5: 0, 6: 0.17235482785351622, 7: 0, 8: 0, 9: 0.09736610375650744, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0, 14: 0.1765431906382475}"
37,"{1: 0, 2: 0, 3: 0.4472712447948747, 4: 1, 5: 0, 6: 0.890209501192784, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0.17055838071646434, 4: 0.11043994933994501, 5: 0, 6: 0.17235482785351622, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0, 14: 0.1765431906382475}"
