plan_id,black_scores,latino_scores
408,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.5614581662147988, 6: 0, 7: 0, 8: 0.3489478542501984, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.12352502226984637, 5: 0.168575261405657, 6: 0, 7: 0, 8: 0.17070234230501113, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.11531913638670864, 14: 0.10402567078011266}"
409,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.5614581662147988, 6: 0, 7: 0, 8: 0.3489478542501984, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.11654212124726714, 5: 0.168575261405657, 6: 0, 7: 0, 8: 0.17070234230501113, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1232262470017921, 14: 0.10402567078011266}"
410,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.5614581662147988, 6: 0, 7: 0, 8: 0.35744680459586753, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.12734721248583053, 5: 0.168575261405657, 6: 0, 7: 0, 8: 0.15872151553040434, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1232262470017921, 14: 0.10402567078011266}"
411,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.3791514818762717, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.12734721248583053, 5: 0.15532335060044952, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1232262470017921, 14: 0.10402567078011266}"
412,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.4269148787145915, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.12734721248583053, 5: 0.1550645752151435, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1232262470017921, 14: 0.10065704809710245}"
413,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.4269148787145915, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.12734721248583053, 5: 0.1550645752151435, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1232262470017921, 14: 0.10065704809710245}"
414,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0.3794751817180589}","{1: 0, 2: 0, 3: 0, 4: 0.12734721248583053, 5: 0.1017297058119514, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1232262470017921, 14: 0.15728223467691815}"
415,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0.3794751817180589}","{1: 0, 2: 0, 3: 0, 4: 0.11640488447976002, 5: 0.11366728089848509, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1232262470017921, 14: 0.15728223467691815}"
416,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0.3794751817180589}","{1: 0, 2: 0, 3: 0, 4: 0.11640488447976002, 5: 0, 6: 0, 7: 0, 8: 0.11295625429928874, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1232262470017921, 14: 0.15728223467691815}"
417,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0.3794751817180589}","{1: 0, 2: 0, 3: 0, 4: 0.11640488447976002, 5: 0, 6: 0, 7: 0, 8: 0.12508632369242748, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.1232262470017921, 14: 0.15728223467691815}"
418,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0.89050464154491, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.3794751817180589}","{1: 0, 2: 0, 3: 0, 4: 0.11640488447976002, 5: 0, 6: 0, 7: 0, 8: 0.12508632369242748, 9: 0.1829151749101861, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.15728223467691815}"
419,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0.89050464154491, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.3794751817180589}","{1: 0, 2: 0, 3: 0, 4: 0.1189848719943716, 5: 0, 6: 0, 7: 0, 8: 0.12508632369242748, 9: 0.1829151749101861, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.15728223467691815}"
420,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0.89050464154491, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.551453374700514}","{1: 0, 2: 0, 3: 0, 4: 0.1189848719943716, 5: 0, 6: 0, 7: 0, 8: 0.13626281941500443, 9: 0.1829151749101861, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.14386607039750157}"
421,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0.89050464154491, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.5430119263536082}","{1: 0, 2: 0, 3: 0, 4: 0.1189848719943716, 5: 0, 6: 0, 7: 0, 8: 0.13626281941500443, 9: 0.1829151749101861, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.14290768959364555}"
422,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0.89050464154491, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.3898078999183226}","{1: 0, 2: 0, 3: 0, 4: 0.10326928792445404, 5: 0, 6: 0, 7: 0, 8: 0.13626281941500443, 9: 0.1829151749101861, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1564792893768842}"
423,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0.89050464154491, 10: 0, 11: 0, 12: 1, 13: 0, 14: 0.3898078999183226}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.13626281941500443, 9: 0.1829151749101861, 10: 0, 11: 0, 12: 0.10451061149916764, 13: 0, 14: 0.1564792893768842}"
424,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0.8907552620784127, 10: 0, 11: 0, 12: 1, 13: 0, 14: 0.3898078999183226}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.13626281941500443, 9: 0.18647861528597334, 10: 0, 11: 0, 12: 0.10451061149916764, 13: 0, 14: 0.1564792893768842}"
425,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 0.8907552620784127, 10: 0, 11: 0, 12: 1, 13: 0, 14: 0.3898078999183226}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0.11131630917907608, 9: 0.18647861528597334, 10: 0, 11: 0, 12: 0.12824511103803798, 13: 0, 14: 0.1564792893768842}"
426,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.8907552620784127, 10: 0, 11: 0, 12: 1, 13: 0, 14: 0.3898078999183226}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.18647861528597334, 10: 0, 11: 0, 12: 0.12824511103803798, 13: 0, 14: 0.1564792893768842}"
427,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 1, 13: 0, 14: 0.3898078999183226}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0.14814558193397137, 10: 0, 11: 0, 12: 0.12824511103803798, 13: 0, 14: 0.1564792893768842}"
428,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.3898078999183226}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0, 9: 0.14814558193397137, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0.1564792893768842}"
429,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0.42437095628372395, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0, 9: 0.14814558193397137, 10: 0, 11: 0, 12: 0.15051589691680223, 13: 0, 14: 0}"
430,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0.42437095628372395, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0, 9: 0.15209261129314136, 10: 0, 11: 0, 12: 0.15051589691680223, 13: 0, 14: 0}"
431,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0.46620996801029524, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0, 9: 0.15209261129314136, 10: 0, 11: 0, 12: 0.13319197572051494, 13: 0, 14: 0}"
432,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0.46620996801029524, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0.1505312839483965, 9: 0, 10: 0, 11: 0, 12: 0.13319197572051494, 13: 0, 14: 0}"
433,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0.46620996801029524, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0.1505312839483965, 9: 0, 10: 0, 11: 0, 12: 0.13319197572051494, 13: 0, 14: 0}"
434,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0.46620996801029524, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0.1505312839483965, 9: 0, 10: 0, 11: 0, 12: 0.13319197572051494, 13: 0, 14: 0}"
435,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0.46620996801029524, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0.1505312839483965, 9: 0, 10: 0, 11: 0, 12: 0.13319197572051494, 13: 0, 14: 0}"
436,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0.46620996801029524, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0.10617894115916754, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0.1505312839483965, 9: 0, 10: 0, 11: 0, 12: 0.13319197572051494, 13: 0, 14: 0}"
437,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.46620996801029524, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0.1505312839483965, 9: 0.10834303404972813, 10: 0, 11: 0, 12: 0.13319197572051494, 13: 0, 14: 0}"
438,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.4668975337235368, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.1373056390600798, 6: 0, 7: 0, 8: 0.15179034545947073, 9: 0.10834303404972813, 10: 0, 11: 0, 12: 0.1325362261466728, 13: 0, 14: 0}"
439,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.4668975337235368, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.13735311019099958, 6: 0, 7: 0, 8: 0.15179034545947073, 9: 0.10942721638874445, 10: 0, 11: 0, 12: 0.1325362261466728, 13: 0, 14: 0}"
440,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.4668975337235368, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.13735311019099958, 6: 0, 7: 0, 8: 0.15179034545947073, 9: 0.10942721638874445, 10: 0, 11: 0, 12: 0.1325362261466728, 13: 0, 14: 0}"
441,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.456217482757496, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.13735311019099958, 6: 0, 7: 0, 8: 0.15179034545947073, 9: 0.10942721638874445, 10: 0, 11: 0, 12: 0.1343192883946425, 13: 0, 14: 0}"
442,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.456217482757496, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.13735311019099958, 6: 0, 7: 0, 8: 0.18167298986618013, 9: 0.10942721638874445, 10: 0, 11: 0, 12: 0.1343192883946425, 13: 0, 14: 0}"
443,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.456217482757496, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12511393446635297, 6: 0, 7: 0, 8: 0.18167298986618013, 9: 0.10942721638874445, 10: 0, 11: 0, 12: 0.1343192883946425, 13: 0, 14: 0}"
444,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.456217482757496, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12511393446635297, 6: 0, 7: 0, 8: 0.18167298986618013, 9: 0.10942721638874445, 10: 0, 11: 0, 12: 0.1343192883946425, 13: 0, 14: 0}"
445,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.456217482757496, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12511393446635297, 6: 0, 7: 0, 8: 0.18167298986618013, 9: 0.10942721638874445, 10: 0, 11: 0, 12: 0.1343192883946425, 13: 0, 14: 0}"
446,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.456217482757496, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12511393446635297, 6: 0, 7: 0, 8: 0.18167298986618013, 9: 0.10942721638874445, 10: 0, 11: 0, 12: 0.1343192883946425, 13: 0, 14: 0}"
447,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0.9795973147204542, 10: 0, 11: 0, 12: 0.456217482757496, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12511393446635297, 6: 0, 7: 0, 8: 0.10963714095579592, 9: 0.1816922894772031, 10: 0, 11: 0, 12: 0.1343192883946425, 13: 0, 14: 0}"
448,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0.9795973147204542, 10: 0, 11: 0, 12: 0.45693038807209413, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12511393446635297, 6: 0, 7: 0, 8: 0.10963714095579592, 9: 0.1816922894772031, 10: 0, 11: 0, 12: 0.14158458081751218, 13: 0, 14: 0}"
449,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 1, 6: 0, 7: 0, 8: 1, 9: 0.9795973147204542, 10: 0, 11: 0, 12: 0.45693038807209413, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12511393446635297, 6: 0, 7: 0, 8: 0.10963714095579592, 9: 0.1816922894772031, 10: 0, 11: 0, 12: 0.14158458081751218, 13: 0, 14: 0}"
450,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.8111684668015272, 6: 0, 7: 0, 8: 1, 9: 0.9795973147204542, 10: 0, 11: 0, 12: 0.8460289852508911, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12304686561884012, 6: 0, 7: 0, 8: 0.10963714095579592, 9: 0.1816922894772031, 10: 0, 11: 0, 12: 0.14544187731049166, 13: 0, 14: 0}"
451,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.8111684668015272, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0, 12: 0.8460289852508911, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12304686561884012, 6: 0, 7: 0, 8: 0.1710862205497631, 9: 0.1113971886497437, 10: 0, 11: 0, 12: 0.14544187731049166, 13: 0, 14: 0}"
452,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.8111684668015272, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0.3792670894667325, 12: 0.7736728572603511, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12304686561884012, 6: 0, 7: 0, 8: 0.1710862205497631, 9: 0.1113971886497437, 10: 0, 11: 0.14127712048479216, 12: 0.17288469802842982, 13: 0, 14: 0}"
453,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.8111684668015272, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0.3792670894667325, 12: 0.7736728572603511, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12304686561884012, 6: 0, 7: 0, 8: 0.1786460059828795, 9: 0.1091304410763557, 10: 0, 11: 0.14127712048479216, 12: 0.17288469802842982, 13: 0, 14: 0}"
454,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.8111684668015272, 6: 0, 7: 0, 8: 1, 9: 1, 10: 0, 11: 0.3792670894667325, 12: 0.7736728572603511, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.12304686561884012, 6: 0, 7: 0, 8: 0.1786460059828795, 9: 0.1091304410763557, 10: 0, 11: 0.14127712048479216, 12: 0.17288469802842982, 13: 0, 14: 0}"
455,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0.8111684668015272, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0.3792670894667325, 12: 0.7736728572603511, 13: 0, 14: 0}","{1: 0, 2: 0.11345860373888797, 3: 0, 4: 0, 5: 0.12304686561884012, 6: 0, 7: 0, 8: 0.1786460059828795, 9: 0, 10: 0, 11: 0.14127712048479216, 12: 0.17288469802842982, 13: 0, 14: 0}"
456,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0.8111684668015272, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0.3792670894667325, 12: 0.7736728572603511, 13: 0, 14: 0}","{1: 0, 2: 0.11345860373888797, 3: 0, 4: 0, 5: 0.12304686561884012, 6: 0, 7: 0, 8: 0.1786460059828795, 9: 0, 10: 0, 11: 0.14127712048479216, 12: 0.17288469802842982, 13: 0, 14: 0}"
457,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0.7912424490920239, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0.3792670894667325, 12: 0.7736728572603511, 13: 0, 14: 0}","{1: 0, 2: 0.11345860373888797, 3: 0, 4: 0, 5: 0.12567780966345143, 6: 0, 7: 0, 8: 0.1786460059828795, 9: 0, 10: 0, 11: 0.14127712048479216, 12: 0.17288469802842982, 13: 0, 14: 0}"
458,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0.9213010796025296, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0.7736728572603511, 13: 0, 14: 0}","{1: 0, 2: 0.11345860373888797, 3: 0, 4: 0, 5: 0.10512078367918429, 6: 0, 7: 0, 8: 0.1786460059828795, 9: 0, 10: 0, 11: 0, 12: 0.17288469802842982, 13: 0, 14: 0}"
459,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0.9213010796025296, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0.7736728572603511, 13: 0, 14: 0}","{1: 0, 2: 0.11345860373888797, 3: 0, 4: 0, 5: 0.10512078367918429, 6: 0, 7: 0, 8: 0.1786460059828795, 9: 0, 10: 0, 11: 0, 12: 0.17288469802842982, 13: 0, 14: 0}"
460,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0.9213010796025296, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0.7511497989790783, 13: 0, 14: 0}","{1: 0, 2: 0.11345860373888797, 3: 0, 4: 0, 5: 0.10512078367918429, 6: 0, 7: 0, 8: 0.1786460059828795, 9: 0, 10: 0, 11: 0, 12: 0.17312184114662552, 13: 0, 14: 0}"
461,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0.9080036539143409, 6: 0, 7: 0, 8: 1, 9: 0, 10: 0, 11: 0, 12: 0.7511497989790783, 13: 0, 14: 0}","{1: 0, 2: 0.11345860373888797, 3: 0, 4: 0, 5: 0.11158637508360893, 6: 0, 7: 0, 8: 0.1786460059828795, 9: 0, 10: 0, 11: 0, 12: 0.17312184114662552, 13: 0, 14: 0}"
462,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 0.9080036539143409, 6: 0, 7: 0, 8: 0.9750663837355201, 9: 0, 10: 0, 11: 0, 12: 0.7511497989790783, 13: 0, 14: 0}","{1: 0, 2: 0.1117202784233606, 3: 0, 4: 0, 5: 0.11158637508360893, 6: 0, 7: 0, 8: 0.17937854518094182, 9: 0, 10: 0, 11: 0, 12: 0.17312184114662552, 13: 0, 14: 0}"
463,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.9080036539143409, 6: 0, 7: 0, 8: 0.9750663837355201, 9: 1, 10: 0, 11: 0, 12: 0.7511497989790783, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.11158637508360893, 6: 0, 7: 0, 8: 0.17937854518094182, 9: 0.10874665377076265, 10: 0, 11: 0, 12: 0.17312184114662552, 13: 0, 14: 0}"
464,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.9080036539143409, 6: 0, 7: 0, 8: 0.9750663837355201, 9: 1, 10: 0, 11: 0, 12: 0.7255909561622366, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.11158637508360893, 6: 0, 7: 0, 8: 0.17937854518094182, 9: 0.10874665377076265, 10: 0, 11: 0, 12: 0.1682340392281766, 13: 0, 14: 0}"
465,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.9080036539143409, 6: 0, 7: 0, 8: 0.9961375657168091, 9: 1, 10: 0, 11: 0, 12: 0.7255909561622366, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.11158637508360893, 6: 0, 7: 0, 8: 0.1832984293725405, 9: 0.10787790130577303, 10: 0, 11: 0, 12: 0.1682340392281766, 13: 0, 14: 0}"
466,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.9269160502239575, 6: 0, 7: 0, 8: 0.9961375657168091, 9: 1, 10: 0, 11: 0, 12: 0.7252201289640878, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.11036423725217871, 6: 0, 7: 0, 8: 0.1832984293725405, 9: 0.10787790130577303, 10: 0, 11: 0, 12: 0.16426522201760185, 13: 0, 14: 0}"
467,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.9269160502239575, 6: 0, 7: 0, 8: 0.9961375657168091, 9: 1, 10: 0, 11: 0, 12: 0.7166763881251482, 13: 0, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.11036423725217871, 6: 0, 7: 0, 8: 0.1832984293725405, 9: 0.10755118135690894, 10: 0, 11: 0, 12: 0.16506182382227935, 13: 0, 14: 0}"
468,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.9269160502239575, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0.7166763881251482, 13: 0.9963258903518922, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.11036423725217871, 6: 0, 7: 0, 8: 0, 9: 0.10755118135690894, 10: 0, 11: 0, 12: 0.16506182382227935, 13: 0.17715961898454993, 14: 0}"
469,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.9269160502239575, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0.9963258903518922, 14: 0.7103367936184382}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.11036423725217871, 6: 0, 7: 0, 8: 0, 9: 0.10755118135690894, 10: 0, 11: 0, 12: 0, 13: 0.17715961898454993, 14: 0.1558129848182508}"
470,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.9269160502239575, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0.9963258903518922, 14: 0.7103367936184382}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.11036423725217871, 6: 0, 7: 0, 8: 0, 9: 0.10755118135690894, 10: 0, 11: 0, 12: 0, 13: 0.17715961898454993, 14: 0.1558129848182508}"
471,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.9269160502239575, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0.6868571317297281, 13: 0.9963258903518922, 14: 0}","{1: 0, 2: 0, 3: 0, 4: 0, 5: 0.11036423725217871, 6: 0, 7: 0, 8: 0, 9: 0.10755118135690894, 10: 0, 11: 0, 12: 0.16960552397762743, 13: 0.17715961898454993, 14: 0}"
